#Release 12.4 - par M.81d (nt64)
#Copyright (c) 1995-2010 Xilinx, Inc.  All rights reserved.

#Fri Mar 11 12:09:52 2011

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       motor_control_map.ncd
#OUTPUT FILE:      motor_control_pad.csv
#PART TYPE:        xc3s100e
#SPEED GRADE:      -4
#PACKAGE:          tq144
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P1,,,PROG_B,,,,,,,,,,,,
P2,,DIFFM,IO_L01P_3,UNUSED,,3,,,,,,,,,
P3,,DIFFS,IO_L01N_3,UNUSED,,3,,,,,,,,,
P4,,DIFFM,IO_L02P_3,UNUSED,,3,,,,,,,,,
P5,,DIFFS,IO_L02N_3/VREF_3,UNUSED,,3,,,,,,,,,
P6,,IBUF,IP,UNUSED,,3,,,,,,,,,
P7,,DIFFM,IO_L03P_3,UNUSED,,3,,,,,,,,,
P8,,DIFFS,IO_L03N_3,UNUSED,,3,,,,,,,,,
P9,,,VCCINT,,,,,,,,1.2,,,,
P10,,IOB,IO,UNUSED,,3,,,,,,,,,
P11,,,GND,,,,,,,,,,,,
P12,,IBUF,IP/VREF_3,UNUSED,,3,,,,,,,,,
P13,,,VCCO_3,,,3,,,,,2.50,,,,
P14,,DIFFM,IO_L04P_3/LHCLK0,UNUSED,,3,,,,,,,,,
P15,,DIFFS,IO_L04N_3/LHCLK1,UNUSED,,3,,,,,,,,,
P16,B,IOB,IO_L05P_3/LHCLK2,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P17,F,IOB,IO_L05N_3/LHCLK3/IRDY2,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P18,,IBUF,IP,UNUSED,,3,,,,,,,,,
P19,,,GND,,,,,,,,,,,,
P20,E,IOB,IO_L06P_3/LHCLK4/TRDY2,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P21,D,IOB,IO_L06N_3/LHCLK5,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P22,H,IOB,IO_L07P_3/LHCLK6,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P23,C,IOB,IO_L07N_3/LHCLK7,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
